"period","month","day","airline","src","dst","distance","SrcWeather","DstWeather","arrivalDelay"
"summer","August","Saturday","Arkia Israeli Airlines","Spain","Israel","mid","",,"heavy delay"
"summer","August","Saturday","Tus Airways","Greece","Israel","short","",,"on time"
"summer","August","Saturday","Tarom","Romania","Israel","mid","",,"on time"
"summer","August","Saturday","Lufthansa","Germany","Israel","mid","",,"slight delay"
"summer","August","Saturday","Smartwings","Cyprus","Israel","short","",,"on time"
"summer","August","Saturday","Charter Jets","France","Israel","mid","",,"heavy delay"
"summer","August","Saturday","","Greece","Israel","short","",,"on time"
"summer","August","Saturday","Brussels Airlines","Belgium","Israel","mid","",,"on time"
"summer","August","Saturday","El Al","Switzerland","Israel","mid","",,"on time"
"summer","August","Sunday","LOT","Poland","Israel","mid","",,"on time"
"summer","August","Sunday","El Al","Spain","Israel","mid","",,"on time"
"summer","August","Sunday","AnadoluJet","Turkey","Israel","short","",,"on time"
"summer","August","Sunday","Wizz Air","Bulgaria","Israel","short","",,"on time"
"summer","August","Sunday","Wizz Air","Romania","Israel","mid","",,"on time"
"summer","August","Sunday","flydubai","United Arab Emirates","Israel","mid","",,"on time"
"summer","August","Sunday","Air Canada","Canada","Israel","long","",,"heavy delay"
"summer","August","Sunday","Wizz Air","Hungary","Israel","mid","",,"on time"
"summer","August","Sunday","Wizz Air","Hungary","Israel","mid","",,"on time"
"summer","August","Sunday","Ryanair","Germany","Israel","mid","",,"slight delay"
"summer","August","Sunday","Ryanair","Hungary","Israel","mid","",,"on time"
"summer","August","Sunday","easyJet","Switzerland","Israel","mid","",,"on time"
"summer","August","Sunday","Transavia","France","Israel","mid","",,"on time"
"summer","August","Sunday","Corendon Airlines","Turkey","Israel","short","",,"slight delay"
"summer","August","Sunday","Aegean Airlines","Greece","Israel","short","",,"heavy delay"
"summer","August","Sunday","Arkia Israeli Airlines","Greece","Israel","short","",,"heavy delay"
"summer","August","Sunday","Wizz Air","Romania","Israel","mid","",,"on time"
"summer","August","Sunday","MNG Airlines","Turkey","Israel","short","",,"slight delay"
"summer","August","Sunday","El Al","Germany","Israel","mid","",,"on time"
"summer","August","Sunday","Lufthansa","Germany","Israel","mid","",,"on time"
"summer","August","Sunday","El Al","Netherlands","Israel","mid","",,"on time"
"summer","August","Sunday","El Al","United States","Israel","long","",,"on time"
"summer","August","Sunday","El Al","Greece","Israel","short","",,"slight delay"
"summer","August","Sunday","AirPink","Italy","Israel","mid","",,"slight delay"
"summer","August","Sunday","","Poland","Israel","mid","",,"heavy delay"
"summer","August","Sunday","Flexjet Operations Malta","Italy","Israel","mid","",,"slight delay"
"summer","August","Sunday","AnadoluJet","Turkey","Israel","short","",,"slight delay"
"summer","August","Sunday","easyJet (NEO Livery)","United Kingdom","Israel","long","",,"on time"
"summer","August","Sunday","El Al","France","Israel","mid","",,"slight delay"
"summer","August","Sunday","Tus Airways","Cyprus","Israel","short","",,"on time"
"summer","August","Sunday","VistaJet","Greece","Israel","short","",,"slight delay"
"summer","August","Sunday","SunExpress","Turkey","Israel","short","",,"slight delay"
"summer","August","Sunday","El Al","United Kingdom","Israel","long","",,"on time"
"summer","August","Saturday","Corendon Airlines","Turkey","Israel","short","",,"on time"
"summer","August","Saturday","Pegasus","Turkey","Israel","short","",,"on time"
"summer","August","Saturday","Air France","France","Israel","mid","",,"slight delay"
"summer","August","Saturday","Tus Airways","Greece","Israel","short","",,"slight delay"
"summer","August","Saturday","Lufthansa","Germany","Israel","mid","",,"slight delay"
"summer","August","Saturday","Swiss","Switzerland","Israel","mid","",,"slight delay"
"summer","August","Saturday","easyJet","Germany","Israel","mid","",,"slight delay"
"summer","August","Saturday","easyJet","France","Israel","mid","",,"on time"
"summer","August","Saturday","Lauda Europe","Austria","Israel","mid","",,"slight delay"
"summer","August","Saturday","Turkish Airlines","Turkey","Israel","short","",,"slight delay"
"summer","August","Saturday","Ryanair","Italy","Israel","mid","",,"slight delay"
"summer","August","Saturday","Ryanair","Malta","Israel","mid","",,"slight delay"
"summer","August","Saturday","El Al","Thailand","Israel","long","",,"on time"
"summer","August","Saturday","AnadoluJet","Turkey","Israel","short","",,"on time"
"summer","August","Saturday","Wizz Air","Italy","Israel","mid","",,"heavy delay"
"summer","August","Saturday","El Al","Cyprus","Israel","short","",,"on time"
"summer","August","Saturday","Israir Airlines (Future Peace Partnership Livery)","Georgia","Israel","short","",,"on time"
"summer","August","Saturday","Lufthansa","Germany","Israel","mid","",,"slight delay"
"summer","August","Sunday","Pegasus","Turkey","Israel","short","",,"slight delay"
"summer","August","Sunday","Cyprus Airways","Cyprus","Israel","short","",,"on time"
"summer","August","Sunday","El Al","Italy","Israel","mid","",,"on time"
"summer","August","Sunday","Turkish Airlines","Turkey","Israel","short","",,"on time"
"summer","August","Sunday","ITA Airways","Italy","Israel","mid","",,"on time"
"summer","August","Sunday","Smartwings","Czechia","Israel","mid","",,"on time"
"summer","August","Sunday","El Al","United Kingdom","Israel","long","",,"on time"
"summer","August","Saturday","Cathay Pacific","Hong Kong","Israel","long","",,"on time"
"summer","August","Sunday","Georgian Airways","Georgia","Israel","short","",,"on time"
"summer","August","Sunday","Aegean Airlines","Greece","Israel","short","",,"on time"
"summer","August","Sunday","Aegean Airlines","Greece","Israel","short","",,"on time"
"summer","August","Sunday","Pegasus","Turkey","Israel","short","",,"on time"
"summer","August","Sunday","LOT","Poland","Israel","mid","",,"on time"
"summer","August","Sunday","SunExpress","Turkey","Israel","short","",,"slight delay"
"summer","August","Sunday","El Al","Cyprus","Israel","short","",,"on time"
"summer","August","Sunday","easyJet","Germany","Israel","mid","",,"on time"
"summer","August","Sunday","Pegasus","Turkey","Israel","short","",,"on time"
"summer","August","Sunday","Corendon Airlines","Turkey","Israel","short","",,"on time"
"summer","August","Sunday","Ryanair","Cyprus","Israel","short","",,"on time"
"summer","August","Sunday","Air Europa","Spain","Israel","long","",,"on time"
"summer","August","Sunday","Air France","France","Israel","mid","",,"on time"
"summer","August","Sunday","Israir Airlines","Montenegro","Israel","mid","",,"slight delay"
"summer","August","Sunday","Turkish Airlines","Turkey","Israel","short","",,"slight delay"
"summer","August","Sunday","United Airlines","United States","Israel","long","",,"on time"
"summer","August","Sunday","El Al","Italy","Israel","mid","",,"on time"
"summer","August","Sunday","United Airlines","United States","Israel","long","",,"on time"
"summer","August","Sunday","Arkia Israeli Airlines","Cyprus","Israel","short","",,"slight delay"
"summer","August","Sunday","Austrian Airlines","Austria","Israel","mid","",,"on time"
"summer","August","Sunday","Ryanair","Italy","Israel","mid","",,"on time"
"summer","August","Sunday","Smartwings","Greece","Israel","short","",,"heavy delay"
"summer","August","Sunday","Tus Airways","Cyprus","Israel","short","",,"heavy delay"
"summer","August","Sunday","Smartwings","Georgia","Israel","short","",,"slight delay"
"summer","August","Sunday","Wizz Air","Italy","Israel","mid","",,"slight delay"
"summer","August","Sunday","Turkish Airlines","Turkey","Israel","short","",,"on time"
"summer","August","Sunday","Azerbaijan Airlines","Azerbaijan","Israel","mid","",,"on time"
"summer","August","Sunday","El Al (Retro Livery)","United States","Israel","long","",,"on time"
"summer","August","Saturday","flydubai","United Arab Emirates","Israel","mid","",,"slight delay"
"summer","August","Saturday","Turkish Airlines","Turkey","Israel","short","",,"slight delay"
"summer","August","Saturday","Turkish Airlines","Turkey","Israel","short","",,"on time"
"summer","August","Saturday","Emirates","United Arab Emirates","Israel","mid","",,"on time"
"summer","August","Saturday","Transavia","France","Israel","mid","",,"on time"
"summer","August","Saturday","Wizz Air","United Arab Emirates","Israel","mid","",,"on time"
"summer","August","Saturday","easyJet (NEO Livery)","United Kingdom","Israel","long","",,"slight delay"
"summer","August","Saturday","easyJet","United Kingdom","Israel","long","",,"slight delay"
"summer","August","Saturday","easyJet","France","Israel","mid","",,"on time"
"summer","August","Saturday","Wizz Air","Poland","Israel","mid","",,"slight delay"
"summer","August","Saturday","United Airlines (Star Alliance livery)","United States","Israel","long","",,"on time"
"summer","August","Saturday","Wizz Air","Bulgaria","Israel","short","",,"slight delay"
"summer","August","Saturday","Ryanair","Greece","Israel","short","",,"on time"
"summer","August","Saturday","Smartwings","Cyprus","Israel","short","",,"slight delay"
"summer","August","Sunday","Aegean Airlines","Greece","Israel","short","",,"on time"
"summer","August","Saturday","Pegasus","Turkey","Israel","short","",,"on time"
"summer","August","Saturday","Turkish Airlines","Turkey","Israel","short","",,"slight delay"
"summer","August","Saturday","British Airways","United Kingdom","Israel","long","",,"on time"
"summer","August","Saturday","Austrian Airlines","Austria","Israel","mid","",,"heavy delay"
"summer","August","Sunday","Aegean Airlines","Greece","Israel","short","",,"on time"
"summer","August","Saturday","KLM","Netherlands","Israel","mid","",,"on time"
"summer","August","Sunday","Corendon Airlines (Antalyaspor Livery)","Turkey","Israel","short","",,"on time"
"summer","August","Sunday","El Al","Italy","Israel","mid","",,"on time"
"summer","August","Sunday","Pegasus","Turkey","Israel","short","",,"on time"
"summer","August","Sunday","Virgin Atlantic","United Kingdom","Israel","long","",,"on time"
"summer","August","Sunday","Tus Airways","Cyprus","Israel","short","",,"on time"
"summer","August","Sunday","Uzbekistan Airways","Uzbekistan","Israel","mid","",,"on time"
"summer","August","Sunday","Turkish Airlines","Turkey","Israel","short","",,"on time"
"summer","August","Sunday","Red Wings","Russia","Israel","mid","",,"on time"
"summer","August","Sunday","United Airlines","United States","Israel","long","",,"on time"
"summer","August","Sunday","Wizz Air","Greece","Israel","short","",,"slight delay"
"summer","August","Sunday","Azerbaijan Airlines","Azerbaijan","Israel","mid","",,"on time"
"summer","August","Sunday","Norwegian","Denmark","Israel","mid","",,"on time"
"summer","August","Sunday","El Al","Greece","Israel","short","",,"on time"
"summer","August","Sunday","SmartWings","Georgia","Israel","short","",,"slight delay"
"summer","August","Sunday","Norwegian","Sweden","Israel","mid","",,"slight delay"
"summer","August","Sunday","Turkish Airlines","Turkey","Israel","short","",,"on time"
"summer","August","Sunday","British Airways","United Kingdom","Israel","long","",,"on time"
"summer","August","Sunday","El Al","Egypt","Israel","short","",,"slight delay"
"summer","August","Sunday","El Al","France","Israel","mid","",,"on time"
"summer","August","Sunday","Pegasus","Turkey","Israel","short","",,"on time"
"summer","August","Sunday","Lufthansa","Germany","Israel","mid","",,"on time"
"summer","August","Sunday","El Al","Switzerland","Israel","mid","",,"slight delay"
"summer","August","Sunday","Ryanair","Greece","Israel","short","",,"heavy delay"
"summer","August","Sunday","El Al","United States","Israel","long","",,"on time"
"summer","August","Sunday","SmartWings","Greece","Israel","short","",,"slight delay"
"summer","August","Sunday","San Marino Executive Aviation","Belgium","Israel","mid","",,"heavy delay"
"summer","August","Sunday","Bluebird Airways","Greece","Israel","short","",,"slight delay"
"summer","August","Sunday","El Al","Cyprus","Israel","short","",,"on time"
"summer","August","Saturday","AnadoluJet","Turkey","Israel","short","",,"slight delay"
"summer","August","Sunday","easyJet","United Kingdom","Israel","long","",,"on time"
"summer","August","Sunday","Air India (Mahatma Gandhi Livery)","India","Israel","long","",,"on time"
"summer","August","Sunday","Wizz Air","Lithuania","Israel","mid","",,"slight delay"
"summer","August","Sunday","El Al","Cyprus","Israel","short","",,"slight delay"
"summer","August","Sunday","Amerijet International","Belgium","Israel","mid","",,"on time"
"summer","August","Saturday","Ryanair","Germany","Israel","mid","",,"slight delay"
"summer","August","Saturday","Wizz Air","Cyprus","Israel","short","",,"on time"
"summer","August","Saturday","ITA Airways","Italy","Israel","mid","",,"on time"
"summer","August","Saturday","British Airways","United Kingdom","Israel","long","",,"on time"
"summer","August","Saturday","Lufthansa","Germany","Israel","mid","",,"slight delay"
"summer","August","Saturday","Delta Air Lines","United States","Israel","long","",,"on time"
"summer","August","Saturday","United Airlines","United States","Israel","long","",,"on time"
"summer","August","Saturday","American Airlines","United States","Israel","long","",,"on time"
"summer","August","Saturday","American Airlines","United States","Israel","long","",,"heavy delay"
"summer","August","Saturday","Aegean Airlines","Greece","Israel","short","",,"slight delay"
"summer","August","Saturday","Israir Airlines","Greece","Israel","short","",,"slight delay"
"summer","August","Saturday","Ryanair","Italy","Israel","mid","",,"on time"
"summer","August","Saturday","Georgian Airways","Georgia","Israel","short","",,"on time"
"summer","August","Saturday","Wizz Air","United Kingdom","Israel","long","",,"heavy delay"
"summer","August","Saturday","Smartwings","Slovenia","Israel","mid","",,"heavy delay"
"summer","August","Saturday","Israir Airlines (Future Peace Partnership Livery)","Israel","Israel","short","",,"slight delay"
"summer","August","Saturday","flydubai","United Arab Emirates","Israel","mid","",,"slight delay"
"summer","August","Sunday","Royal Jordanian","Jordan","Israel","short","",,"slight delay"
"summer","August","Saturday","Transavia","France","Israel","mid","",,"heavy delay"
"summer","August","Sunday","El Al","Greece","Israel","short","",,"on time"
"summer","August","Sunday","SmartWings","Egypt","Israel","short","",,"on time"
"summer","August","Sunday","Corendon Airlines","Turkey","Israel","short","",,"slight delay"
"summer","August","Saturday","Swiss","Switzerland","Israel","mid","",,"on time"
"summer","August","Sunday","Ethiopian Airlines","Ethiopia","Israel","mid","",,"on time"
"summer","August","Sunday","Trade Air","Montenegro","Israel","mid","",,"on time"
"summer","August","Saturday","El Al","Thailand","Israel","long","",,"on time"
"summer","August","Saturday","El Al","South Africa","Israel","long","",,"on time"
"summer","August","Sunday","Wizz Air","Italy","Israel","mid","",,"slight delay"
"summer","August","Sunday","Israir Airlines (Israel-UAE Agreement Livery)","Israel","Israel","short","",,"on time"
"summer","August","Sunday","Vueling","Spain","Israel","mid","",,"slight delay"
"summer","August","Sunday","AnadoluJet","Turkey","Israel","short","",,"heavy delay"
"summer","August","Sunday","","Denmark","Israel","mid","",,"on time"
"summer","August","Sunday","Smartwings","Georgia","Israel","short","",,"slight delay"
"summer","August","Sunday","Bluebird Airways","Greece","Israel","short","",,"on time"
"summer","August","Sunday","Etihad Airways","United Arab Emirates","Israel","mid","",,"on time"
"summer","August","Sunday","Israir Airlines (Israel-UAE Agreement Livery)","Israel","Israel","short","",,"slight delay"
"summer","August","Sunday","El Al","Italy","Israel","mid","",,"on time"
"summer","August","Sunday","El Al","Spain","Israel","mid","",,"on time"
"summer","August","Sunday","Swiss","Switzerland","Israel","mid","",,"on time"
"summer","August","Sunday","easyJet","France","Israel","mid","",,"on time"
"summer","August","Sunday","ITA Airways","Italy","Israel","mid","",,"on time"
"summer","August","Sunday","United Airlines (Star Alliance livery)","United States","Israel","long","",,"on time"
"summer","August","Sunday","Wizz Air","United Arab Emirates","Israel","mid","",,"slight delay"
"summer","August","Sunday","Emirates","United Arab Emirates","Israel","mid","",,"on time"
"summer","August","Sunday","","Italy","Israel","mid","",,"slight delay"
"summer","August","Sunday","El Al","Germany","Israel","mid","",,"on time"
"summer","August","Sunday","Lufthansa","Germany","Israel","mid","",,"on time"
"summer","August","Sunday","American Airlines","United States","Israel","long","",,"on time"
"summer","August","Sunday","Austrian Airlines","Austria","Israel","mid","",,"slight delay"
"summer","August","Sunday","El Al","France","Israel","mid","",,"slight delay"
"summer","August","Saturday","Tus Airways","Cyprus","Israel","short","",,"slight delay"
"summer","August","Sunday","Turkish Airlines","Turkey","Israel","short","",,"on time"
"summer","August","Sunday","El Al","Russia","Israel","mid","",,"on time"
"summer","August","Sunday","Wizz Air","United Kingdom","Israel","long","",,"slight delay"
"summer","August","Sunday","HiSky","Moldova","Israel","mid","",,"slight delay"
"summer","August","Sunday","El Al","Romania","Israel","mid","",,"on time"
"summer","August","Sunday","Smartwings","Greece","Israel","mid","",,"heavy delay"
"summer","August","Tuesday","El Al","Cyprus","Israel","short","Partly cloudy",,"on time"
"summer","August","Tuesday","Israir Airlines (Israel-UAE Agreement Livery)","Greece","Israel","short","Moderate or heavy rain with thunder",,"heavy delay"
"summer","August","Tuesday","Ryanair","Cyprus","Israel","short","Partly cloudy",,"slight delay"
"summer","August","Tuesday","","Italy","Israel","mid","Clear",,"on time"
"summer","August","Tuesday","flydubai","United Arab Emirates","Israel","mid","Sunny",,"on time"
"summer","August","Tuesday","Arkia Israeli Airlines","Spain","Israel","mid","Clear",,"slight delay"
"summer","August","Wednesday","SmartWings","Serbia","Israel","mid","Fog",,"heavy delay"
"summer","August","Tuesday","El Al","Russia","Israel","mid","Sunny",,"on time"
"summer","August","Tuesday","Wizz Air","United Kingdom","Israel","long","Patchy light rain with thunder",,"slight delay"
"summer","August","Tuesday","El Al","Germany","Israel","mid","Sunny",,"heavy delay"
"summer","August","Tuesday","El Al","France","Israel","mid","Mist",,"on time"
"summer","August","Tuesday","El Al","Spain","Israel","mid","Clear",,"on time"
"summer","August","Tuesday","Air Baltic","Latvia","Israel","mid","Partly cloudy",,"slight delay"
"summer","August","Wednesday","Smartwings","Czechia","Israel","mid","Fog",,"heavy delay"
"summer","August","Tuesday","El Al","Thailand","Israel","long","Light rain",,"on time"
"summer","August","Wednesday","Vueling","Spain","Israel","mid","Clear",,"on time"
"summer","August","Wednesday","Red Wings","Russia","Israel","mid","Sunny",,"on time"
"summer","August","Wednesday","Wizz Air","Romania","Israel","mid","Sunny",,"slight delay"
"summer","August","Wednesday","El Al","United States","Israel","long","Clear",,"on time"
"summer","August","Wednesday","DHL","Germany","Israel","mid","Mist",,"slight delay"
"summer","August","Tuesday","Brussels Airlines (Tintin comics Livery)","Belgium","Israel","mid","Clear",,"on time"
"summer","August","Wednesday","Wizz Air","Italy","Israel","mid","Sunny",,"slight delay"
"summer","August","Wednesday","LOT","Poland","Israel","mid","Fog",,"slight delay"
"summer","August","Wednesday","Israir Airlines (Future Peace Partnership Livery)","Georgia","Israel","short","Sunny",,"slight delay"
"summer","August","Wednesday","Transavia","France","Israel","mid","Clear",,"on time"
"summer","August","Wednesday","Turkish Airlines","Turkey","Israel","short","Partly cloudy",,"slight delay"
"summer","August","Wednesday","El Al","Italy","Israel","mid","Sunny",,"on time"
"summer","August","Wednesday","Pegasus","Turkey","Israel","short","Partly cloudy",,"on time"
"summer","August","Wednesday","MNG Airlines","Turkey","Israel","short","Partly cloudy",,"on time"
"summer","August","Wednesday","El Al","Switzerland","Israel","mid","Clear",,"slight delay"
"summer","August","Wednesday","Wizz Air","Austria","Israel","mid","Light rain",,"slight delay"
"summer","August","Wednesday","El Al","Czechia","Israel","mid","Fog",,"slight delay"
"summer","August","Wednesday","Cyprus Airways","Cyprus","Israel","short","Partly cloudy",,"on time"
"summer","August","Wednesday","El Al","United States","Israel","long","Clear",,"on time"
"summer","August","Wednesday","AnadoluJet","Turkey","Israel","short","Partly cloudy",,"on time"
"summer","August","Wednesday","easyJet","France","Israel","mid","Clear",,"on time"
"summer","August","Wednesday","Transavia","France","Israel","mid","Clear",,"on time"
"summer","August","Wednesday","UPS","Cyprus","Israel","short","Partly cloudy",,"on time"
"summer","August","Wednesday","Tus Airways","Cyprus","Israel","short","Partly cloudy",,"on time"
"summer","August","Wednesday","easyJet","Italy","Israel","mid","Sunny",,"on time"
"summer","August","Wednesday","El Al","United Kingdom","Israel","long","Patchy light rain with thunder",,"on time"
"summer","August","Wednesday","LOT","Poland","Israel","mid","Sunny",,"heavy delay"
"summer","August","Wednesday","Tarom","Romania","Israel","mid","Sunny",,"on time"
"summer","August","Wednesday","flydubai","United Arab Emirates","Israel","mid","Sunny",,"on time"
"summer","August","Wednesday","El Al","Russia","Israel","mid","Sunny",,"on time"
"summer","August","Wednesday","flydubai","United Arab Emirates","Israel","mid","Sunny",,"on time"
"summer","August","Wednesday","Air France","France","Israel","mid","Clear",,"on time"
"summer","August","Wednesday","El Al","Austria","Israel","mid","Light rain",,"slight delay"
"summer","August","Wednesday","Israir Airlines (Future Peace Partnership Livery)","Morocco","Israel","long","Clear",,"slight delay"
"summer","August","Thursday","Swiss","Switzerland","Israel","mid","Fog",,"slight delay"
"summer","August","Wednesday","Ryanair","Germany","Israel","mid","Clear",,"on time"
"summer","August","Wednesday","Ryanair","Italy","Israel","mid","Sunny",,"slight delay"
"summer","August","Thursday","FedEx","Germany","Israel","mid","Sunny",,"on time"
"summer","August","Tuesday","Georgian Airways","Georgia","Israel","short","Sunny",,"slight delay"
"summer","August","Wednesday","El Al","United States","Israel","long","Partly cloudy",,"on time"
"summer","August","Tuesday","El Al (Retro Livery)","France","Israel","mid","Clear",,"slight delay"
"summer","August","Tuesday","Aegean Airlines","Greece","Israel","short","Moderate or heavy rain with thunder",,"on time"
"summer","August","Tuesday","Lufthansa","Germany","Israel","mid","Sunny",,"slight delay"
"summer","August","Wednesday","Arkia Israeli Airlines","Romania","Israel","mid","Sunny",,"heavy delay"
"summer","August","Tuesday","AnadoluJet","Turkey","Israel","short","Partly cloudy",,"on time"
"summer","August","Tuesday","Iberia","Spain","Israel","long","Clear",,"on time"
"summer","August","Tuesday","El Al","Russia","Israel","mid","Sunny",,"on time"
"summer","August","Tuesday","Smartwings","Iceland","Israel","long","Clear",,"heavy delay"
"summer","August","Tuesday","flydubai","United Arab Emirates","Israel","mid","Sunny",,"on time"
"summer","August","Wednesday","Turkish Airlines","Turkey","Israel","short","Partly cloudy",,"on time"
"summer","August","Tuesday","El Al","Germany","Israel","mid","Sunny",,"on time"
"summer","August","Tuesday","KLM","Netherlands","Israel","mid","Clear",,"on time"
"summer","August","Wednesday","Virgin Atlantic","United Kingdom","Israel","long","Patchy light rain with thunder",,"on time"
"summer","August","Wednesday","El Al","Georgia","Israel","short","Sunny",,"slight delay"
"summer","August","Tuesday","Israir Airlines (Future Peace Partnership Livery)","Tanzania","Israel","long","Partly cloudy",,"slight delay"
"summer","August","Wednesday","Neos","Italy","Israel","mid","Sunny",,"on time"
"summer","August","Wednesday","Pegasus","Turkey","Israel","short","Partly cloudy",,"slight delay"
"summer","August","Wednesday","Turkish Airlines","Turkey","Israel","short","Partly cloudy",,"slight delay"
"summer","August","Tuesday","El Al","United States","Israel","long","Clear",,"on time"
"summer","August","Wednesday","flydubai","United Arab Emirates","Israel","mid","Sunny",,"on time"
"summer","August","Wednesday","El Al","Canada","Israel","long","Clear",,"on time"
"summer","August","Wednesday","FedEx","Austria","Israel","mid","Light rain",,"slight delay"
"summer","August","Wednesday","NetJets Europe","France","Israel","mid","Clear",,"slight delay"
"summer","August","Wednesday","Air France","France","Israel","mid","Clear",,"slight delay"
"summer","August","Wednesday","easyJet","Germany","Israel","mid","Mist",,"slight delay"
"summer","August","Wednesday","Air Canada","Canada","Israel","long","Clear",,"slight delay"
"summer","August","Wednesday","Ryanair","Hungary","Israel","mid","Clear",,"on time"
"summer","August","Wednesday","El Al","France","Israel","mid","Clear",,"slight delay"
"summer","August","Wednesday","El Al","Germany","Israel","mid","Sunny",,"slight delay"
"summer","August","Wednesday","MNG Airlines","Turkey","Israel","short","Light rain",,"on time"
"summer","August","Thursday","ITA Airways","Italy","Israel","mid","Sunny",,"on time"
"summer","August","Wednesday","Ryanair","Greece","Israel","short","Moderate or heavy rain with thunder",,"slight delay"
"summer","August","Wednesday","El Al","Greece","Israel","short","Moderate or heavy rain with thunder",,"heavy delay"
"summer","August","Wednesday","El Al","France","Israel","mid","Clear",,"on time"
"summer","August","Wednesday","El Al","Spain","Israel","long","Clear",,"on time"
"summer","August","Wednesday","El Al","United States","Israel","long","Clear",,"on time"
"summer","August","Wednesday","Bluebird Airways","Greece","Israel","short","Partly cloudy",,"slight delay"
"summer","August","Wednesday","Wizz Air","Poland","Israel","mid","Sunny",,"slight delay"
"summer","August","Wednesday","Delta Air Lines","United States","Israel","long","Clear",,"on time"
"summer","August","Wednesday","TAP Air Portugal","Portugal","Israel","long","Partly cloudy",,"on time"
"summer","August","Thursday","Turkish Airlines","Turkey","Israel","short","Partly cloudy",,"heavy delay"
"summer","August","Wednesday","Lufthansa","Germany","Israel","mid","Sunny",,"heavy delay"
"summer","August","Thursday","Aegean Airlines","Greece","Israel","short","Partly cloudy",,"on time"
"summer","August","Wednesday","El Al","Spain","Israel","long","Clear",,"on time"
"summer","August","Wednesday","Air Seychelles","Seychelles","Israel","long","Patchy rain possible",,"slight delay"
"summer","August","Wednesday","El Al","France","Israel","mid","Clear",,"slight delay"
"summer","August","Wednesday","El Al","Germany","Israel","mid","Sunny",,"slight delay"
"summer","August","Wednesday","Wizz Air","Italy","Israel","mid","Sunny",,"heavy delay"
"summer","August","Wednesday","Blue Air","Romania","Israel","mid","Sunny",,"slight delay"
"summer","August","Wednesday","easyJet (NEO Livery)","United Kingdom","Israel","long","Patchy light rain with thunder",,"slight delay"
"summer","August","Wednesday","Sun d'Or International Airlines","Greece","Israel","short","Partly cloudy",,"heavy delay"
"summer","August","Wednesday","Wizz Air","Hungary","Israel","mid","Sunny",,"on time"
"summer","August","Wednesday","Brussels Airlines (The Smurfs Livery)","Belgium","Israel","mid","Clear",,"slight delay"
"summer","August","Thursday","Corendon Airlines (Eurovision 2020 Livery)","Turkey","Israel","short","Light rain",,"on time"
"summer","August","Thursday","El Al","United Kingdom","Israel","long","Patchy light rain with thunder",,"slight delay"
"summer","August","Thursday","El Al","France","Israel","mid","Clear",,"slight delay"
"summer","August","Wednesday","Ryanair","Italy","Israel","mid","Partly cloudy",,"slight delay"
"summer","August","Tuesday","AnadoluJet","Turkey","Israel","short","Light rain",,"on time"
"summer","August","Thursday","El Al","Morocco","Israel","long","Clear",,"slight delay"
"summer","August","Tuesday","Tus Airways","Cyprus","Israel","short","Partly cloudy",,"slight delay"
"summer","August","Tuesday","El Al (Jerusalem of Gold Livery)","Thailand","Israel","long","Light rain",,"on time"
"summer","August","Tuesday","Buzz","Poland","Israel","mid","Fog",,"slight delay"
"summer","August","Tuesday","El Al","Bulgaria","Israel","mid","Partly cloudy",,"on time"
"summer","August","Wednesday","Trade Air","Montenegro","Israel","mid","Sunny",,"slight delay"
"summer","August","Wednesday","Corendon Airlines (Eurovision 2020 Livery)","Turkey","Israel","short","Light rain",,"on time"
"summer","August","Tuesday","El Al","United States","Israel","long","Partly cloudy",,"on time"
"summer","August","Wednesday","Air Europa","Spain","Israel","long","Clear",,"on time"
"summer","August","Wednesday","Corendon Airlines","Turkey","Israel","short","Light rain",,"heavy delay"
"summer","August","Tuesday","Austrian Airlines","Austria","Israel","mid","Partly cloudy",,"on time"
"summer","August","Tuesday","El Al","Italy","Israel","mid","Sunny",,"on time"
"summer","August","Wednesday","Aegean Airlines","Greece","Israel","short","Partly cloudy",,"on time"
"summer","August","Tuesday","Tus Airways","France","Israel","mid","Overcast",,"heavy delay"
"summer","August","Tuesday","Lufthansa","Germany","Israel","mid","Sunny",,"slight delay"
"summer","August","Tuesday","Uzbekistan Airways","Uzbekistan","Israel","mid","Sunny",,"slight delay"
"summer","August","Wednesday","El Al","Portugal","Israel","long","Partly cloudy",,"slight delay"
"summer","August","Wednesday","DHL","Belgium","Israel","mid","Clear",,"on time"
"summer","August","Wednesday","United Airlines","United States","Israel","long","Partly cloudy",,"on time"
"summer","August","Wednesday","El Al","Serbia","Israel","mid","Mist",,"on time"
"summer","August","Wednesday","Austrian Airlines","Austria","Israel","mid","Light rain",,"heavy delay"
"summer","August","Wednesday","Transavia","Netherlands","Israel","mid","Clear",,"slight delay"
"summer","August","Tuesday","El Al","United States","Israel","long","Clear",,"on time"
"summer","August","Wednesday","SunExpress","Turkey","Israel","short","Sunny",,"on time"
"summer","August","Wednesday","AnadoluJet","Turkey","Israel","short","Light rain",,"heavy delay"
"summer","August","Wednesday","Air Hamburg","Italy","Israel","mid","Clear",,"on time"
"summer","August","Wednesday","El Al","Greece","Israel","short","Partly cloudy",,"on time"
"summer","August","Wednesday","Ryanair","Italy","Israel","mid","Clear",,"slight delay"
"summer","August","Wednesday","United Airlines","United States","Israel","long","Clear",,"slight delay"
"summer","August","Wednesday","El Al","France","Israel","mid","Mist",,"slight delay"
"summer","August","Wednesday","Wizz Air","Bulgaria","Israel","short","Sunny",,"on time"
"summer","August","Wednesday","Swiss","Switzerland","Israel","mid","Fog",,"on time"
