"period","month","day","airline","src","dst","distance","SrcWeather","DstWeather","arrivalDelay"
"summer","August","Thursday","Silk Way Airlines","Azerbaijan","Israel","mid","",,"slight delay"
"summer","August","Thursday","United Airlines","United States","Israel","long","",,"slight delay"
"summer","August","Thursday","Transavia","France","Israel","mid","",,"on time"
"summer","August","Thursday","Tus Airways","Cyprus","Israel","short","",,"on time"
"summer","August","Thursday","Israir Airlines (Future Peace Partnership Livery)","Greece","Israel","short","",,"slight delay"
"summer","August","Thursday","easyJet","Germany","Israel","mid","",,"slight delay"
"summer","August","Thursday","Aegean Airlines","Greece","Israel","short","",,"slight delay"
"summer","August","Thursday","Wizz Air","Austria","Israel","mid","",,"slight delay"
"summer","August","Thursday","United Airlines (Star Alliance Livery)","United States","Israel","long","",,"on time"
"summer","August","Friday","Smartwings","Greece","Israel","mid","",,"heavy delay"
"summer","August","Thursday","Fly One","Moldova","Israel","mid","",,"slight delay"
"summer","August","Thursday","HiSky","Moldova","Israel","mid","",,"slight delay"
"summer","August","Thursday","Wizz Air","Italy","Israel","mid","",,"on time"
"summer","August","Thursday","Tus Airways","Cyprus","Israel","short","",,"slight delay"
"summer","August","Thursday","LEVEL","Spain","Israel","long","",,"on time"
"summer","August","Thursday","Lufthansa","Germany","Israel","mid","",,"on time"
"summer","August","Thursday","Transavia","France","Israel","mid","",,"on time"
"summer","August","Thursday","Israir Airlines (Future Peace Partnership Livery)","Georgia","Israel","short","",,"on time"
"summer","August","Friday","Aegean Airlines","Greece","Israel","short","",,"on time"
"summer","August","Thursday","El Al","Russia","Israel","mid","",,"on time"
"summer","August","Friday","Tus Airways","Serbia","Israel","mid","",,"on time"
"summer","August","Thursday","El Al","Germany","Israel","mid","",,"on time"
"summer","August","Friday","El Al","Hungary","Israel","mid","",,"heavy delay"
"summer","August","Friday","Vueling","Spain","Israel","mid","",,"on time"
"summer","August","Thursday","Air Baltic","Latvia","Israel","mid","",,"on time"
"summer","August","Friday","El Al","United Kingdom","Israel","long","",,"on time"
"summer","August","Thursday","El Al","United States","Israel","long","",,"on time"
"summer","August","Friday","flydubai","United Arab Emirates","Israel","mid","",,"on time"
"summer","August","Friday","Turkish Airlines","Turkey","Israel","short","",,"on time"
"summer","August","Friday","Aegean Airlines","Greece","Israel","short","",,"slight delay"
"summer","August","Friday","Transavia","France","Israel","mid","",,"on time"
"summer","August","Friday","Wizz Air","Poland","Israel","mid","",,"slight delay"
"summer","August","Friday","easyJet","Switzerland","Israel","mid","",,"slight delay"
"summer","August","Thursday","flydubai","United Arab Emirates","Israel","mid","",,"slight delay"
"summer","August","Thursday","Israir Airlines","Georgia","Israel","short","",,"slight delay"
"summer","August","Thursday","Tus Airways","Cyprus","Israel","short","",,"on time"
"summer","August","Thursday","Israir Airlines (Future Peace Partnership Livery)","Israel","Israel","short","",,"heavy delay"
"summer","August","Thursday","flydubai","United Arab Emirates","Israel","mid","",,"on time"
"summer","August","Thursday","Air Europa","Spain","Israel","mid","",,"slight delay"
"summer","August","Thursday","El Al","Portugal","Israel","long","",,"slight delay"
"summer","August","Thursday","SmartWings","Czechia","Israel","mid","",,"on time"
"summer","August","Thursday","El Al","Georgia","Israel","short","",,"on time"
"summer","August","Wednesday","El Al","Netherlands","Israel","mid","",,"on time"
"summer","August","Thursday","Neos","Italy","Israel","mid","",,"on time"
"summer","August","Thursday","Turkish Airlines","Turkey","Israel","short","",,"on time"
"summer","August","Thursday","El Al","Hungary","Israel","mid","",,"on time"
"summer","August","Thursday","Wizz Air","Hungary","Israel","mid","",,"heavy delay"
"summer","August","Wednesday","El Al (Jerusalem of Gold Livery)","United States","Israel","long","",,"on time"
"summer","August","Thursday","AirSERBIA","Serbia","Israel","mid","",,"slight delay"
"summer","August","Thursday","Air Canada","Canada","Israel","long","",,"on time"
